,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
93936,1pIhb,r5rk/3R4/p3p1pP/1pp1Nq2/5PQ1/6P1/PP4K1/8 b - - 5 33,f5g4 e5f7 h8h7 f7g5 h7h6 d7h7,1846,80,82,486,doubleCheck endgame exposedKing hookMate long mate mateIn3,https://lichess.org/C2gZitum/black#66,
94022,1pOIM,8/p6p/2R3k1/1p3r2/3rN3/P6P/6PK/8 b - - 0 33,g6h5 g2g4 h5h4 c6h6 f5h5 h6h5,1973,125,82,26,endgame fork long mate mateIn3,https://lichess.org/gf1ZBpvv/black#66,
94046,1pQ2u,1q3r1k/3P4/4Q3/8/P7/8/6PP/2R3K1 w - - 1 40,c1c8 b8b1 c8c1 b1c1 e6e1 c1e1,1032,79,74,118,endgame long mate mateIn3,https://lichess.org/axafaztp#79,
94132,1pWDM,5rk1/ppp3pp/2n1p3/4P3/3PQ3/N1P5/PP1q2PP/R5K1 w - - 4 18,a3c4 d2f2 g1h1 f2f1 a1f1 f8f1,1279,76,75,167,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/MHR272MG#35,Rat_Defense Rat_Defense_Harmonist
94168,1pZ0Q,1r1r3k/p4pp1/1p2pq2/2b1N3/2P1Q3/1R6/P4PPP/5RK1 w - - 3 24,e5c6 f6f2 f1f2 d8d1 e4e1 d1e1,1814,94,55,39,kingsideAttack long mate mateIn3 middlegame pin sacrifice,https://lichess.org/CjmPLNk0#47,
94196,1paj9,4Q3/p4rkp/1q1r2p1/1p6/2p5/8/P4PPP/3RR1K1 w - - 2 28,d1d6 b6f2 g1h1 f2f1 e1f1 f7f1,1158,74,98,2703,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/edxOgbXH#55,
94239,1peyZ,2kr3r/pp4p1/2pB1p2/6p1/P1Nn4/3P4/1P3PPP/2R2RK1 w - - 3 22,d6c5 d4e2 g1h1 h8h2 h1h2 d8h8,1394,83,84,1416,anastasiaMate attraction fork long mate mateIn3 middlegame sacrifice,https://lichess.org/ozGmBvB9#43,
94330,1pmNB,r3k2r/p1pp1p2/1p3P2/n5q1/3Q2p1/P3P3/1PP2BbP/3RK2R b Kkq - 1 17,g2h1 d4d7 e8f8 d7d8 a8d8 d1d8,1861,75,97,7562,long mate mateIn3 middlegame sacrifice,https://lichess.org/pFRjSn1U/black#34,Englund_Gambit Englund_Gambit_Other_variations
94331,1pmQ3,1k4rr/ppq2p2/2n5/5n2/2Np4/P2P1QP1/1P3P1N/R4RK1 w - - 3 23,f3f5 g8g3 f2g3 c7g3 g1h1 g3h2,1245,106,52,46,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/t1VraPO0#45,
94371,1ppaQ,2k4r/ppp2ppp/4pB2/8/8/3Q4/PPP3qP/1K1R4 b - - 0 18,g7f6 d3d7 c8b8 d7d8 h8d8 d1d8,989,84,94,1018,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/6yfMKxBr/black#36,Scandinavian_Defense Scandinavian_Defense_Main_Line
